"Table 17. Tobacco Product Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or ""snus""), cigars, or pipe tobacco.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given. ",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
15,Florida,20.49%,19.25%,21.78%,4.62%,3.86%,5.52%,25.51%,23.37%,27.77%,21.36%,19.90%,22.90%,21.86%,20.53%,23.26%
16,Georgia,24.08%,22.31%,25.93%,5.45%,4.36%,6.81%,30.46%,27.58%,33.50%,25.45%,23.32%,27.71%,26.17%,24.23%,28.21%
17,Hawaii,17.11%,15.22%,19.18%,3.41%,2.57%,4.52%,25.14%,21.75%,28.88%,17.40%,15.24%,19.81%,18.34%,16.29%,20.58%
18,Idaho,22.65%,20.59%,24.86%,5.99%,4.68%,7.63%,32.96%,29.32%,36.83%,23.29%,20.79%,25.98%,24.67%,22.38%,27.11%
19,Illinois,22.44%,21.00%,23.95%,5.21%,4.33%,6.25%,29.09%,26.58%,31.73%,23.45%,21.69%,25.30%,24.23%,22.65%,25.89%
20,Indiana,26.80%,24.64%,29.08%,6.43%,5.11%,8.06%,33.29%,29.64%,37.14%,28.26%,25.66%,31.00%,29.00%,26.63%,31.50%
21,Iowa,26.39%,24.16%,28.75%,5.01%,3.88%,6.45%,37.22%,33.57%,41.01%,27.05%,24.31%,29.98%,28.59%,26.14%,31.17%
22,Kansas,24.75%,22.61%,27.02%,5.37%,4.23%,6.80%,31.73%,28.24%,35.45%,26.05%,23.44%,28.83%,26.91%,24.55%,29.41%
23,Kentucky,33.73%,31.24%,36.31%,9.61%,7.81%,11.76%,40.64%,36.84%,44.56%,35.45%,32.46%,38.56%,36.18%,33.46%,38.98%
24,Louisiana,30.20%,27.82%,32.68%,6.90%,5.49%,8.63%,34.52%,30.72%,38.53%,32.34%,29.49%,35.33%,32.65%,30.04%,35.38%
25,Maine,24.21%,21.86%,26.72%,7.90%,6.31%,9.85%,35.21%,31.44%,39.17%,24.30%,21.59%,27.24%,25.59%,23.06%,28.29%
26,Maryland,19.10%,17.18%,21.18%,4.45%,3.44%,5.75%,26.10%,22.81%,29.67%,19.69%,17.43%,22.17%,20.54%,18.44%,22.82%
27,Massachusetts,20.70%,18.62%,22.94%,4.31%,3.32%,5.58%,29.16%,25.62%,32.98%,20.97%,18.53%,23.63%,22.17%,19.92%,24.59%
28,Michigan,26.18%,24.64%,27.78%,5.52%,4.60%,6.60%,30.32%,27.99%,32.76%,27.91%,26.00%,29.91%,28.26%,26.57%,30.01%
29,Minnesota,22.77%,20.83%,24.84%,5.24%,4.11%,6.68%,34.44%,30.79%,38.28%,23.01%,20.72%,25.48%,24.57%,22.45%,26.83%
30,Mississippi,31.32%,28.88%,33.88%,7.62%,6.08%,9.50%,33.81%,30.00%,37.84%,33.95%,30.95%,37.09%,33.93%,31.24%,36.73%
31,Missouri,27.07%,24.86%,29.40%,7.27%,5.78%,9.11%,31.33%,27.75%,35.14%,28.71%,26.06%,31.53%,29.08%,26.66%,31.63%
32,Montana,27.11%,24.81%,29.54%,8.33%,6.71%,10.30%,38.20%,34.51%,42.03%,27.36%,24.65%,30.26%,28.86%,26.36%,31.48%
33,Nebraska,26.34%,24.12%,28.69%,4.96%,3.88%,6.33%,35.90%,32.05%,39.94%,27.40%,24.73%,30.25%,28.68%,26.24%,31.26%
34,Nevada,24.12%,21.87%,26.53%,4.61%,3.57%,5.93%,27.75%,24.27%,31.52%,25.84%,23.17%,28.71%,26.09%,23.61%,28.73%
35,New Hampshire,22.47%,20.40%,24.67%,6.38%,5.02%,8.06%,33.53%,29.94%,37.32%,22.43%,20.01%,25.05%,23.92%,21.68%,26.30%
36,New Jersey,20.78%,18.99%,22.68%,4.14%,3.20%,5.32%,29.89%,26.77%,33.20%,21.34%,19.21%,23.63%,22.45%,20.49%,24.53%
37,New Mexico,25.08%,22.80%,27.51%,4.76%,3.60%,6.27%,31.42%,27.69%,35.41%,26.56%,23.83%,29.48%,27.24%,24.74%,29.90%
38,New York,19.64%,18.41%,20.92%,3.72%,3.06%,4.53%,26.09%,23.98%,28.31%,20.27%,18.81%,21.82%,21.09%,19.76%,22.48%
39,North Carolina,24.78%,23.05%,26.59%,5.88%,4.79%,7.21%,33.90%,30.76%,37.19%,25.58%,23.51%,27.77%,26.71%,24.82%,28.70%
40,North Dakota,26.66%,24.44%,29.00%,6.99%,5.61%,8.67%,35.27%,31.48%,39.25%,27.07%,24.42%,29.90%,28.47%,26.06%,31.01%
41,Ohio,28.75%,27.23%,30.33%,6.85%,5.79%,8.08%,36.60%,34.04%,39.24%,30.09%,28.24%,32.01%,30.99%,29.31%,32.71%
42,Oklahoma,28.81%,26.35%,31.39%,6.19%,4.83%,7.89%,33.92%,30.15%,37.90%,30.83%,27.87%,33.96%,31.28%,28.58%,34.12%
43,Oregon,23.11%,21.10%,25.24%,5.50%,4.32%,6.98%,32.31%,28.83%,35.99%,23.57%,21.23%,26.09%,24.71%,22.54%,27.02%
44,Pennsylvania,26.48%,24.99%,28.03%,5.88%,4.93%,7.00%,34.60%,32.04%,37.25%,27.43%,25.64%,29.30%,28.39%,26.77%,30.07%
45,Rhode Island,22.31%,20.08%,24.70%,4.90%,3.78%,6.33%,28.22%,24.66%,32.09%,23.06%,20.43%,25.91%,23.84%,21.44%,26.42%
46,South Carolina,26.94%,24.72%,29.29%,6.73%,5.40%,8.36%,34.25%,30.73%,37.96%,28.09%,25.44%,30.90%,28.92%,26.49%,31.47%
47,South Dakota,29.08%,26.75%,31.52%,8.36%,6.77%,10.28%,39.09%,35.36%,42.95%,29.94%,27.14%,32.91%,31.27%,28.72%,33.93%
48,Tennessee,29.89%,27.62%,32.26%,7.11%,5.71%,8.83%,36.05%,32.24%,40.05%,31.56%,28.87%,34.38%,32.18%,29.70%,34.76%
49,Texas,22.55%,21.36%,23.80%,3.75%,3.07%,4.57%,27.24%,25.16%,29.42%,24.38%,22.91%,25.91%,24.81%,23.48%,26.19%
50,Utah,15.24%,13.53%,17.12%,3.61%,2.61%,4.98%,20.35%,16.96%,24.21%,16.10%,14.02%,18.43%,16.87%,14.94%,18.99%
51,Vermont,26.56%,24.23%,29.03%,7.50%,5.89%,9.51%,42.76%,38.35%,47.30%,25.62%,22.89%,28.55%,28.16%,25.65%,30.81%
52,Virginia,21.29%,19.63%,23.04%,5.06%,4.08%,6.26%,30.23%,27.38%,33.23%,21.71%,19.73%,23.84%,22.89%,21.09%,24.80%
53,Washington,20.53%,18.47%,22.75%,5.46%,4.31%,6.90%,28.07%,24.67%,31.74%,21.03%,18.62%,23.66%,21.97%,19.73%,24.38%
54,West Virginia,37.92%,35.29%,40.62%,9.45%,7.56%,11.77%,43.82%,39.76%,47.97%,39.97%,36.86%,43.16%,40.46%,37.60%,43.38%
55,Wisconsin,25.23%,22.92%,27.68%,5.51%,4.37%,6.93%,32.32%,28.67%,36.21%,26.36%,23.63%,29.29%,27.20%,24.68%,29.88%
56,Wyoming,26.98%,24.70%,29.39%,6.62%,5.28%,8.28%,38.59%,34.78%,42.55%,27.54%,24.83%,30.43%,29.06%,26.56%,31.69%
