"Table 14. Binge Alcohol Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Binge Alcohol Use is defined as drinking five or more drinks (for males) or four or more drinks (for females) on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
31,Missouri,25.23%,23.00%,27.60%,5.82%,4.53%,7.45%,37.98%,34.06%,42.07%,25.45%,22.85%,28.23%,27.20%,24.77%,29.77%
32,Montana,29.29%,26.98%,31.71%,7.54%,5.91%,9.58%,45.86%,41.92%,49.86%,28.99%,26.26%,31.88%,31.31%,28.81%,33.92%
33,Nebraska,29.00%,26.54%,31.60%,6.56%,5.20%,8.25%,43.56%,39.55%,47.65%,29.31%,26.33%,32.47%,31.46%,28.76%,34.29%
34,Nevada,23.62%,21.27%,26.15%,5.41%,4.19%,6.95%,31.43%,27.78%,35.33%,24.58%,21.81%,27.58%,25.45%,22.88%,28.21%
35,New Hampshire,28.58%,26.16%,31.13%,5.79%,4.51%,7.40%,46.36%,42.39%,50.38%,28.20%,25.33%,31.27%,30.63%,28.01%,33.39%
36,New Jersey,24.21%,22.21%,26.32%,5.48%,4.35%,6.88%,40.32%,36.81%,43.94%,23.97%,21.62%,26.49%,26.09%,23.92%,28.38%
37,New Mexico,24.41%,22.05%,26.92%,5.50%,4.29%,7.02%,33.01%,29.30%,36.95%,25.33%,22.53%,28.35%,26.42%,23.84%,29.17%
38,New York,25.00%,23.62%,26.44%,5.45%,4.60%,6.46%,42.52%,39.93%,45.15%,24.22%,22.57%,25.95%,26.78%,25.28%,28.33%
39,North Carolina,20.35%,18.65%,22.16%,4.61%,3.64%,5.84%,30.89%,27.88%,34.07%,20.56%,18.55%,22.72%,21.97%,20.11%,23.94%
40,North Dakota,31.21%,28.89%,33.63%,6.24%,4.94%,7.86%,48.14%,44.07%,52.24%,30.50%,27.70%,33.45%,33.52%,30.99%,36.13%
41,Ohio,24.85%,23.31%,26.45%,5.12%,4.27%,6.12%,39.22%,36.54%,41.97%,24.89%,23.05%,26.83%,26.86%,25.18%,28.61%
42,Oklahoma,22.05%,19.91%,24.35%,4.92%,3.83%,6.30%,33.61%,29.97%,37.45%,22.27%,19.73%,25.02%,23.93%,21.58%,26.45%
43,Oregon,24.95%,22.68%,27.38%,5.44%,4.25%,6.92%,40.17%,36.32%,44.15%,24.72%,22.09%,27.55%,26.73%,24.27%,29.34%
44,Pennsylvania,26.81%,25.26%,28.41%,5.54%,4.63%,6.61%,42.51%,39.77%,45.30%,26.66%,24.82%,28.59%,28.78%,27.11%,30.52%
45,Rhode Island,29.07%,26.50%,31.79%,6.30%,4.90%,8.08%,44.38%,40.38%,48.45%,28.70%,25.70%,31.90%,31.08%,28.31%,34.00%
46,South Carolina,23.47%,21.24%,25.87%,4.87%,3.81%,6.20%,35.60%,32.04%,39.33%,23.68%,21.05%,26.54%,25.29%,22.85%,27.89%
47,South Dakota,30.84%,28.28%,33.53%,7.10%,5.58%,8.99%,45.58%,41.59%,49.62%,31.29%,28.26%,34.48%,33.36%,30.56%,36.28%
48,Tennessee,20.40%,18.36%,22.60%,4.84%,3.75%,6.23%,29.48%,25.63%,33.65%,20.77%,18.40%,23.35%,21.96%,19.74%,24.35%
49,Texas,23.35%,22.12%,24.62%,4.27%,3.54%,5.15%,33.67%,31.36%,36.05%,24.20%,22.68%,25.79%,25.64%,24.27%,27.05%
50,Utah,16.22%,14.46%,18.15%,3.57%,2.58%,4.92%,27.32%,23.68%,31.30%,15.93%,13.83%,18.28%,18.00%,16.02%,20.15%
51,Vermont,27.32%,24.94%,29.85%,7.15%,5.66%,9.00%,49.25%,44.79%,53.73%,25.50%,22.74%,28.47%,29.02%,26.46%,31.72%
52,Virginia,23.47%,21.61%,25.43%,4.83%,3.90%,5.97%,39.01%,35.88%,42.23%,23.12%,20.89%,25.50%,25.31%,23.28%,27.45%
53,Washington,22.71%,20.55%,25.03%,5.02%,3.90%,6.44%,37.90%,34.00%,41.97%,22.33%,19.84%,25.04%,24.41%,22.05%,26.92%
54,West Virginia,21.51%,19.46%,23.72%,5.67%,4.38%,7.29%,37.79%,33.97%,41.76%,20.76%,18.39%,23.34%,22.93%,20.71%,25.31%
55,Wisconsin,30.81%,28.20%,33.54%,6.02%,4.77%,7.57%,46.92%,42.94%,50.94%,31.05%,27.92%,34.38%,33.29%,30.43%,36.29%
56,Wyoming,23.81%,21.55%,26.22%,5.23%,4.10%,6.66%,39.41%,35.63%,43.32%,23.52%,20.83%,26.44%,25.70%,23.24%,28.33%
