"Table 27. Serious Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Serious mental illness (SMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). SMI includes individuals with diagnoses resulting in serious functional impairment. For details, see Section B of the ""2016-2017 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)",,,,,,
14,District of Columbia,4.43%,3.68%,5.33%,6.25%,4.87%,7.99%,4.08%,3.27%,5.07%,,,,,,
15,Florida,3.83%,3.32%,4.41%,6.41%,5.46%,7.52%,3.48%,2.95%,4.10%,,,,,,
16,Georgia,4.35%,3.65%,5.17%,5.83%,4.70%,7.21%,4.09%,3.34%,5.01%,,,,,,
17,Hawaii,3.49%,2.84%,4.28%,6.76%,5.31%,8.58%,3.04%,2.37%,3.90%,,,,,,
18,Idaho,5.81%,4.85%,6.95%,7.90%,6.30%,9.88%,5.47%,4.43%,6.73%,,,,,,
19,Illinois,4.14%,3.56%,4.81%,6.41%,5.33%,7.69%,3.77%,3.15%,4.51%,,,,,,
20,Indiana,5.19%,4.35%,6.18%,7.85%,6.30%,9.76%,4.72%,3.83%,5.82%,,,,,,
21,Iowa,4.59%,3.83%,5.48%,6.99%,5.56%,8.77%,4.16%,3.36%,5.13%,,,,,,
22,Kansas,4.79%,3.99%,5.75%,7.17%,5.68%,9.00%,4.37%,3.52%,5.41%,,,,,,
23,Kentucky,5.58%,4.64%,6.70%,7.53%,6.01%,9.39%,5.26%,4.24%,6.51%,,,,,,
24,Louisiana,4.72%,3.88%,5.74%,5.47%,4.24%,7.03%,4.60%,3.69%,5.73%,,,,,,
25,Maine,4.60%,3.80%,5.57%,7.71%,6.10%,9.71%,4.19%,3.35%,5.22%,,,,,,
26,Maryland,3.90%,3.22%,4.73%,6.48%,5.13%,8.15%,3.51%,2.79%,4.40%,,,,,,
27,Massachusetts,4.76%,3.94%,5.72%,7.46%,5.91%,9.36%,4.29%,3.44%,5.34%,,,,,,
28,Michigan,4.56%,3.96%,5.23%,6.64%,5.62%,7.83%,4.21%,3.56%,4.96%,,,,,,
29,Minnesota,4.24%,3.54%,5.08%,7.33%,5.82%,9.21%,3.75%,3.02%,4.65%,,,,,,
30,Mississippi,4.64%,3.84%,5.60%,5.94%,4.65%,7.57%,4.41%,3.55%,5.48%,,,,,,
31,Missouri,4.91%,4.09%,5.88%,6.85%,5.40%,8.65%,4.59%,3.72%,5.65%,,,,,,
32,Montana,5.18%,4.35%,6.16%,7.75%,6.16%,9.70%,4.77%,3.90%,5.84%,,,,,,
33,Nebraska,4.30%,3.58%,5.15%,6.58%,5.21%,8.27%,3.89%,3.13%,4.83%,,,,,,
34,Nevada,4.28%,3.46%,5.28%,6.49%,5.05%,8.30%,3.96%,3.10%,5.04%,,,,,,
35,New Hampshire,5.28%,4.36%,6.38%,8.90%,7.12%,11.08%,4.72%,3.76%,5.92%,,,,,,
36,New Jersey,3.67%,3.04%,4.44%,6.31%,5.03%,7.89%,3.28%,2.62%,4.11%,,,,,,
37,New Mexico,4.39%,3.57%,5.39%,6.29%,4.91%,8.02%,4.08%,3.20%,5.18%,,,,,,
38,New York,3.83%,3.30%,4.45%,5.87%,4.89%,7.04%,3.50%,2.93%,4.17%,,,,,,
39,North Carolina,4.66%,3.96%,5.49%,6.27%,5.09%,7.70%,4.41%,3.64%,5.33%,,,,,,
40,North Dakota,4.61%,3.85%,5.51%,7.39%,5.88%,9.25%,4.03%,3.23%,5.02%,,,,,,
41,Ohio,4.95%,4.33%,5.66%,7.60%,6.44%,8.95%,4.53%,3.86%,5.31%,,,,,,
42,Oklahoma,4.99%,4.13%,6.02%,7.04%,5.54%,8.92%,4.64%,3.71%,5.78%,,,,,,
43,Oregon,5.37%,4.51%,6.39%,8.32%,6.71%,10.28%,4.93%,4.02%,6.04%,,,,,,
44,Pennsylvania,4.44%,3.85%,5.12%,6.66%,5.57%,7.94%,4.10%,3.47%,4.84%,,,,,,
45,Rhode Island,4.52%,3.75%,5.44%,7.07%,5.61%,8.87%,4.06%,3.25%,5.08%,,,,,,
46,South Carolina,4.36%,3.59%,5.29%,6.12%,4.84%,7.71%,4.09%,3.26%,5.11%,,,,,,
47,South Dakota,4.44%,3.72%,5.31%,7.48%,6.03%,9.26%,3.93%,3.15%,4.89%,,,,,,
48,Tennessee,5.19%,4.36%,6.18%,7.12%,5.66%,8.93%,4.89%,3.99%,5.97%,,,,,,
49,Texas,3.76%,3.28%,4.31%,5.90%,4.95%,7.01%,3.38%,2.87%,3.98%,,,,,,
50,Utah,6.18%,5.21%,7.31%,9.51%,7.52%,11.96%,5.43%,4.42%,6.65%,,,,,,
51,Vermont,5.41%,4.48%,6.52%,7.78%,6.14%,9.83%,5.00%,4.00%,6.23%,,,,,,
52,Virginia,4.01%,3.38%,4.76%,5.99%,4.84%,7.39%,3.70%,3.02%,4.52%,,,,,,
53,Washington,5.37%,4.43%,6.50%,7.01%,5.52%,8.87%,5.12%,4.11%,6.37%,,,,,,
54,West Virginia,5.69%,4.72%,6.83%,7.55%,6.06%,9.37%,5.41%,4.38%,6.68%,,,,,,
55,Wisconsin,4.88%,4.11%,5.80%,7.53%,6.02%,9.38%,4.45%,3.63%,5.44%,,,,,,
56,Wyoming,4.84%,4.05%,5.78%,7.66%,6.14%,9.52%,4.39%,3.55%,5.42%,,,,,,
