"Table 13. Alcohol Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
16,Georgia,44.78%,42.45%,47.12%,7.76%,6.44%,9.33%,50.71%,47.27%,54.14%,48.65%,45.79%,51.51%,48.94%,46.36%,51.53%
17,Hawaii,45.13%,42.17%,48.13%,8.13%,6.50%,10.13%,55.13%,50.92%,59.27%,47.54%,44.02%,51.07%,48.46%,45.24%,51.69%
18,Idaho,46.47%,43.76%,49.21%,9.07%,7.43%,11.04%,49.44%,45.31%,53.59%,51.25%,47.88%,54.60%,50.99%,47.96%,54.01%
19,Illinois,54.53%,52.75%,56.31%,10.33%,8.97%,11.88%,59.68%,56.65%,62.63%,59.02%,56.82%,61.19%,59.12%,57.15%,61.05%
20,Indiana,49.89%,47.13%,52.66%,9.21%,7.56%,11.17%,59.83%,55.79%,63.74%,53.32%,49.96%,56.66%,54.29%,51.24%,57.30%
21,Iowa,58.44%,55.69%,61.15%,9.68%,7.87%,11.87%,64.91%,61.10%,68.54%,63.21%,59.78%,66.51%,63.46%,60.41%,66.40%
22,Kansas,57.20%,54.58%,59.78%,10.27%,8.49%,12.39%,59.53%,55.66%,63.30%,62.94%,59.63%,66.13%,62.42%,59.51%,65.24%
23,Kentucky,39.80%,37.12%,42.53%,10.25%,8.42%,12.44%,49.27%,45.22%,53.33%,41.74%,38.48%,45.08%,42.79%,39.87%,45.77%
24,Louisiana,50.12%,47.45%,52.80%,10.19%,8.39%,12.33%,54.27%,50.20%,58.28%,54.34%,51.07%,57.58%,54.33%,51.37%,57.26%
25,Maine,56.16%,53.10%,59.17%,11.24%,9.36%,13.45%,64.29%,60.48%,67.92%,59.37%,55.71%,62.93%,59.96%,56.63%,63.20%
26,Maryland,53.30%,50.59%,56.00%,9.48%,7.72%,11.58%,59.08%,55.09%,62.95%,57.41%,54.09%,60.67%,57.64%,54.66%,60.56%
27,Massachusetts,61.36%,58.48%,64.15%,12.72%,10.46%,15.38%,70.51%,66.62%,74.12%,64.91%,61.40%,68.27%,65.73%,62.61%,68.72%
28,Michigan,53.18%,51.35%,55.01%,10.76%,9.42%,12.27%,58.90%,56.14%,61.60%,57.21%,54.94%,59.45%,57.45%,55.44%,59.44%
29,Minnesota,57.93%,55.15%,60.66%,9.78%,8.02%,11.87%,65.46%,61.44%,69.26%,62.46%,59.08%,65.73%,62.87%,59.82%,65.83%
30,Mississippi,38.22%,35.47%,41.05%,7.65%,6.16%,9.46%,44.24%,40.02%,48.54%,41.12%,37.77%,44.57%,41.58%,38.54%,44.69%
31,Missouri,50.93%,48.20%,53.64%,10.80%,8.93%,13.00%,55.78%,51.57%,59.91%,54.87%,51.58%,58.12%,55.00%,52.02%,57.94%
32,Montana,57.53%,54.83%,60.19%,12.82%,10.66%,15.33%,64.38%,60.52%,68.05%,61.26%,57.96%,64.45%,61.69%,58.73%,64.56%
33,Nebraska,58.34%,55.56%,61.07%,10.21%,8.40%,12.34%,62.94%,58.94%,66.78%,63.73%,60.27%,67.05%,63.60%,60.52%,66.58%
34,Nevada,48.25%,45.25%,51.26%,9.63%,7.89%,11.71%,49.94%,45.59%,54.29%,52.45%,48.85%,56.03%,52.14%,48.85%,55.41%
35,New Hampshire,63.12%,60.48%,65.69%,11.30%,9.31%,13.64%,69.33%,65.38%,73.02%,67.56%,64.35%,70.61%,67.80%,64.92%,70.55%
36,New Jersey,53.13%,50.72%,55.52%,10.87%,9.10%,12.92%,59.91%,56.15%,63.55%,56.99%,54.05%,59.87%,57.37%,54.73%,59.98%
37,New Mexico,48.98%,46.16%,51.80%,10.32%,8.45%,12.56%,53.37%,49.11%,57.59%,53.04%,49.61%,56.44%,53.09%,50.00%,56.16%
38,New York,54.73%,53.07%,56.38%,9.85%,8.57%,11.31%,62.07%,59.36%,64.71%,58.29%,56.29%,60.26%,58.82%,57.02%,60.60%
39,North Carolina,44.43%,42.20%,46.69%,8.81%,7.35%,10.53%,49.57%,46.05%,53.09%,47.85%,45.13%,50.58%,48.09%,45.63%,50.55%
40,North Dakota,59.70%,56.99%,62.36%,10.97%,9.11%,13.16%,67.58%,63.67%,71.25%,63.52%,60.16%,66.76%,64.20%,61.24%,67.06%
41,Ohio,51.06%,49.21%,52.91%,9.13%,7.87%,10.58%,58.68%,55.90%,61.41%,54.80%,52.51%,57.06%,55.33%,53.29%,57.35%
42,Oklahoma,44.79%,42.07%,47.53%,8.88%,7.17%,10.94%,52.60%,48.46%,56.70%,48.05%,44.68%,51.44%,48.72%,45.71%,51.73%
43,Oregon,58.49%,55.83%,61.10%,10.54%,8.65%,12.78%,62.70%,58.81%,66.44%,62.88%,59.68%,65.96%,62.86%,59.96%,65.67%
44,Pennsylvania,56.42%,54.68%,58.15%,10.06%,8.70%,11.60%,60.30%,57.30%,63.23%,60.79%,58.68%,62.86%,60.73%,58.83%,62.60%
45,Rhode Island,60.15%,57.31%,62.93%,11.01%,8.99%,13.42%,67.96%,63.97%,71.71%,63.88%,60.42%,67.20%,64.49%,61.41%,67.46%
46,South Carolina,45.33%,42.58%,48.12%,8.65%,7.03%,10.59%,53.32%,49.43%,57.18%,48.23%,44.88%,51.58%,48.91%,45.90%,51.94%
47,South Dakota,59.47%,56.69%,62.18%,11.27%,9.41%,13.46%,64.44%,60.60%,68.11%,64.59%,61.15%,67.88%,64.57%,61.50%,67.51%
48,Tennessee,43.68%,41.08%,46.31%,9.01%,7.40%,10.93%,50.52%,46.40%,54.64%,46.63%,43.48%,49.80%,47.16%,44.31%,50.04%
49,Texas,47.12%,45.72%,48.53%,8.77%,7.64%,10.05%,51.65%,48.98%,54.31%,51.74%,49.99%,53.49%,51.72%,50.16%,53.28%
50,Utah,29.25%,26.85%,31.78%,5.77%,4.23%,7.83%,36.17%,31.74%,40.83%,31.76%,28.74%,34.95%,32.54%,29.83%,35.38%
51,Vermont,62.09%,59.19%,64.91%,13.62%,11.35%,16.27%,70.91%,66.72%,74.76%,65.34%,61.82%,68.69%,66.16%,63.02%,69.16%
52,Virginia,52.31%,50.10%,54.52%,9.62%,8.13%,11.35%,58.85%,55.49%,62.12%,56.16%,53.46%,58.82%,56.53%,54.10%,58.93%
53,Washington,55.23%,52.29%,58.13%,10.05%,8.24%,12.20%,60.41%,56.36%,64.31%,59.42%,55.88%,62.86%,59.55%,56.35%,62.67%
54,West Virginia,39.73%,36.94%,42.59%,10.10%,8.33%,12.18%,53.31%,49.28%,57.30%,40.78%,37.47%,44.17%,42.38%,39.35%,45.46%
55,Wisconsin,61.60%,58.81%,64.31%,10.73%,8.89%,12.89%,68.43%,64.60%,72.02%,66.42%,63.00%,69.69%,66.71%,63.64%,69.64%
56,Wyoming,49.88%,46.94%,52.83%,9.68%,7.89%,11.83%,57.76%,53.65%,61.76%,53.37%,49.79%,56.92%,53.97%,50.74%,57.17%
