"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
41,Ohio,24.68%,23.09%,26.35%,25.70%,23.48%,28.06%,10.53%,9.02%,12.26%,26.83%,24.91%,28.85%,24.58%,22.88%,26.36%
42,Oklahoma,28.11%,25.65%,30.71%,25.44%,22.01%,29.21%,14.47%,11.98%,17.38%,30.82%,27.88%,33.92%,28.40%,25.81%,31.15%
43,Oregon,17.00%,14.99%,19.23%,16.94%,14.29%,19.96%,7.96%,6.34%,9.96%,18.38%,16.03%,20.99%,17.01%,14.91%,19.34%
44,Pennsylvania,24.10%,22.56%,25.71%,25.24%,22.95%,27.69%,11.67%,10.05%,13.52%,25.92%,24.08%,27.84%,23.99%,22.36%,25.71%
45,Rhode Island,21.01%,18.75%,23.46%,22.26%,19.02%,25.88%,10.00%,7.98%,12.46%,22.88%,20.22%,25.77%,20.90%,18.55%,23.46%
46,South Carolina,29.68%,27.19%,32.31%,27.59%,24.23%,31.21%,14.69%,12.25%,17.52%,32.27%,29.32%,35.37%,29.89%,27.26%,32.66%
47,South Dakota,26.48%,24.09%,29.02%,27.66%,24.24%,31.35%,12.79%,10.58%,15.38%,28.68%,25.80%,31.74%,26.35%,23.82%,29.05%
48,Tennessee,28.40%,26.05%,30.87%,27.15%,23.82%,30.76%,13.80%,11.31%,16.73%,30.88%,28.10%,33.80%,28.52%,26.05%,31.13%
49,Texas,34.66%,33.27%,36.07%,30.06%,27.92%,32.30%,17.37%,15.68%,19.19%,38.44%,36.73%,40.18%,35.21%,33.72%,36.74%
50,Utah,28.41%,26.19%,30.74%,36.57%,32.51%,40.83%,16.27%,13.32%,19.72%,29.76%,27.06%,32.60%,27.27%,24.93%,29.74%
51,Vermont,15.46%,13.45%,17.71%,17.10%,14.32%,20.30%,6.83%,5.21%,8.92%,16.82%,14.45%,19.49%,15.32%,13.23%,17.67%
52,Virginia,25.97%,24.02%,28.02%,25.60%,22.85%,28.56%,11.73%,9.80%,13.98%,28.31%,25.97%,30.77%,26.01%,23.94%,28.18%
53,Washington,18.79%,16.55%,21.26%,18.89%,16.11%,22.02%,9.94%,7.95%,12.37%,20.16%,17.54%,23.06%,18.78%,16.43%,21.38%
54,West Virginia,25.70%,23.27%,28.30%,24.82%,21.57%,28.40%,11.51%,9.39%,14.04%,27.88%,25.02%,30.92%,25.78%,23.22%,28.51%
55,Wisconsin,23.26%,20.92%,25.78%,23.98%,21.03%,27.21%,10.38%,8.38%,12.80%,25.31%,22.52%,28.32%,23.19%,20.72%,25.86%
56,Wyoming,25.14%,22.71%,27.74%,26.54%,22.94%,30.48%,15.53%,12.79%,18.73%,26.52%,23.65%,29.60%,24.99%,22.44%,27.74%
