"Table 7. Cocaine Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
16,Georgia,1.74%,1.34%,2.24%,0.34%,0.21%,0.53%,4.45%,3.35%,5.90%,1.46%,1.06%,2.02%,1.89%,1.46%,2.45%
17,Hawaii,1.88%,1.37%,2.56%,0.58%,0.30%,1.12%,5.22%,3.73%,7.26%,1.55%,1.05%,2.28%,1.99%,1.45%,2.73%
18,Idaho,1.37%,0.98%,1.90%,0.66%,0.38%,1.12%,4.24%,2.94%,6.07%,0.99%,0.63%,1.55%,1.45%,1.03%,2.04%
19,Illinois,1.94%,1.58%,2.39%,0.48%,0.33%,0.70%,5.84%,4.65%,7.30%,1.49%,1.13%,1.96%,2.09%,1.70%,2.58%
20,Indiana,1.90%,1.44%,2.50%,0.55%,0.35%,0.86%,5.72%,4.19%,7.77%,1.41%,0.98%,2.02%,2.05%,1.55%,2.71%
21,Iowa,1.43%,1.05%,1.95%,0.55%,0.33%,0.90%,4.53%,3.19%,6.38%,0.99%,0.66%,1.49%,1.52%,1.11%,2.09%
22,Kansas,1.58%,1.16%,2.15%,0.55%,0.35%,0.87%,4.89%,3.45%,6.89%,1.13%,0.76%,1.67%,1.70%,1.24%,2.31%
23,Kentucky,1.60%,1.17%,2.18%,0.54%,0.34%,0.85%,4.74%,3.37%,6.63%,1.21%,0.81%,1.80%,1.70%,1.24%,2.34%
24,Louisiana,1.43%,1.02%,1.99%,0.28%,0.16%,0.49%,3.69%,2.55%,5.31%,1.19%,0.80%,1.78%,1.55%,1.11%,2.16%
25,Maine,1.86%,1.40%,2.48%,0.70%,0.44%,1.11%,6.62%,4.97%,8.77%,1.33%,0.91%,1.95%,1.96%,1.46%,2.62%
26,Maryland,2.11%,1.60%,2.78%,0.35%,0.21%,0.57%,6.20%,4.56%,8.38%,1.69%,1.20%,2.37%,2.29%,1.73%,3.01%
27,Massachusetts,3.05%,2.38%,3.91%,0.64%,0.41%,0.98%,9.35%,7.08%,12.24%,2.22%,1.61%,3.06%,3.27%,2.54%,4.19%
28,Michigan,1.70%,1.38%,2.09%,0.44%,0.30%,0.66%,4.75%,3.75%,6.00%,1.33%,1.01%,1.76%,1.82%,1.47%,2.26%
29,Minnesota,1.70%,1.29%,2.25%,0.57%,0.36%,0.89%,4.79%,3.44%,6.62%,1.35%,0.95%,1.91%,1.82%,1.37%,2.42%
30,Mississippi,1.29%,0.91%,1.83%,0.24%,0.13%,0.46%,2.90%,1.96%,4.28%,1.15%,0.75%,1.75%,1.41%,0.99%,2.00%
31,Missouri,1.59%,1.18%,2.14%,0.47%,0.29%,0.76%,4.44%,3.12%,6.26%,1.26%,0.87%,1.82%,1.71%,1.26%,2.31%
32,Montana,1.91%,1.44%,2.52%,0.89%,0.55%,1.43%,5.81%,4.21%,7.97%,1.39%,0.98%,1.98%,2.00%,1.50%,2.66%
33,Nebraska,1.68%,1.26%,2.23%,0.60%,0.38%,0.95%,5.65%,4.18%,7.62%,1.11%,0.74%,1.66%,1.80%,1.34%,2.40%
34,Nevada,2.33%,1.74%,3.11%,0.62%,0.39%,0.98%,5.83%,4.25%,7.95%,2.02%,1.41%,2.88%,2.50%,1.86%,3.36%
35,New Hampshire,2.20%,1.71%,2.82%,0.89%,0.58%,1.37%,8.81%,6.70%,11.51%,1.32%,0.91%,1.90%,2.32%,1.80%,2.99%
36,New Jersey,1.87%,1.46%,2.39%,0.49%,0.31%,0.77%,6.48%,4.91%,8.49%,1.34%,0.97%,1.86%,2.01%,1.56%,2.58%
37,New Mexico,2.02%,1.51%,2.69%,0.74%,0.45%,1.21%,5.58%,3.99%,7.76%,1.59%,1.10%,2.29%,2.15%,1.60%,2.89%
38,New York,2.46%,2.08%,2.91%,0.44%,0.30%,0.65%,5.79%,4.77%,7.02%,2.13%,1.72%,2.65%,2.65%,2.23%,3.13%
39,North Carolina,1.86%,1.46%,2.36%,0.40%,0.26%,0.63%,5.17%,3.97%,6.71%,1.51%,1.11%,2.05%,2.01%,1.58%,2.55%
40,North Dakota,1.51%,1.10%,2.09%,0.61%,0.35%,1.07%,4.68%,3.25%,6.70%,0.96%,0.62%,1.50%,1.60%,1.15%,2.22%
41,Ohio,1.76%,1.45%,2.14%,0.50%,0.34%,0.73%,5.17%,4.13%,6.46%,1.37%,1.05%,1.78%,1.89%,1.55%,2.31%
42,Oklahoma,1.70%,1.26%,2.28%,0.48%,0.30%,0.76%,5.39%,3.88%,7.44%,1.22%,0.82%,1.81%,1.83%,1.36%,2.47%
43,Oregon,2.98%,2.33%,3.80%,1.01%,0.63%,1.61%,8.86%,6.76%,11.53%,2.30%,1.67%,3.17%,3.16%,2.46%,4.04%
44,Pennsylvania,1.98%,1.60%,2.45%,0.54%,0.37%,0.77%,5.57%,4.42%,6.99%,1.58%,1.19%,2.10%,2.12%,1.71%,2.62%
45,Rhode Island,2.66%,2.03%,3.48%,0.70%,0.45%,1.11%,7.68%,5.72%,10.23%,1.97%,1.39%,2.78%,2.84%,2.16%,3.72%
46,South Carolina,1.95%,1.46%,2.59%,0.38%,0.23%,0.65%,5.95%,4.46%,7.91%,1.50%,1.02%,2.20%,2.10%,1.57%,2.81%
47,South Dakota,1.14%,0.80%,1.61%,0.56%,0.32%,0.99%,3.45%,2.31%,5.12%,0.82%,0.52%,1.29%,1.20%,0.84%,1.71%
48,Tennessee,1.87%,1.41%,2.48%,0.50%,0.32%,0.78%,5.26%,3.80%,7.26%,1.49%,1.05%,2.12%,2.01%,1.51%,2.67%
49,Texas,1.47%,1.20%,1.79%,0.46%,0.31%,0.68%,4.42%,3.53%,5.52%,1.08%,0.82%,1.44%,1.59%,1.30%,1.95%
50,Utah,1.71%,1.28%,2.28%,0.69%,0.42%,1.12%,4.67%,3.33%,6.51%,1.23%,0.83%,1.81%,1.85%,1.37%,2.48%
51,Vermont,3.50%,2.74%,4.46%,0.93%,0.56%,1.52%,12.24%,9.42%,15.75%,2.23%,1.57%,3.17%,3.72%,2.90%,4.75%
52,Virginia,1.93%,1.52%,2.45%,0.43%,0.28%,0.66%,5.26%,4.05%,6.81%,1.57%,1.15%,2.13%,2.08%,1.63%,2.64%
53,Washington,2.33%,1.77%,3.07%,0.70%,0.45%,1.11%,6.52%,4.81%,8.79%,1.87%,1.32%,2.64%,2.49%,1.88%,3.29%
54,West Virginia,1.65%,1.23%,2.21%,0.61%,0.38%,0.97%,5.07%,3.65%,7.02%,1.26%,0.87%,1.82%,1.75%,1.29%,2.35%
55,Wisconsin,2.02%,1.52%,2.66%,0.58%,0.37%,0.92%,6.19%,4.49%,8.49%,1.50%,1.05%,2.14%,2.16%,1.62%,2.86%
56,Wyoming,1.59%,1.18%,2.16%,0.83%,0.51%,1.33%,4.83%,3.43%,6.76%,1.17%,0.79%,1.73%,1.67%,1.22%,2.28%
