"Table 6. Illicit Drug Use Other Than Marijuana in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use Other than Marijuana Use includes the misuse of prescription psychotherapeutics or the use of cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
11,Colorado,3.93%,3.20%,4.82%,2.63%,1.84%,3.75%,9.03%,6.88%,11.76%,3.25%,2.50%,4.22%,4.06%,3.28%,5.02%
12,Connecticut,3.73%,3.00%,4.62%,2.27%,1.56%,3.28%,9.26%,7.15%,11.92%,3.00%,2.24%,4.00%,3.87%,3.10%,4.83%
13,Delaware,3.41%,2.74%,4.24%,2.31%,1.58%,3.37%,6.61%,4.97%,8.74%,3.05%,2.32%,4.00%,3.51%,2.80%,4.40%
14,District of Columbia,5.36%,4.33%,6.61%,3.23%,2.16%,4.81%,9.57%,7.25%,12.53%,4.68%,3.56%,6.12%,5.48%,4.41%,6.78%
15,Florida,3.18%,2.74%,3.68%,2.54%,1.98%,3.25%,6.34%,5.25%,7.65%,2.81%,2.32%,3.39%,3.23%,2.77%,3.77%
16,Georgia,3.08%,2.55%,3.71%,2.27%,1.63%,3.14%,5.52%,4.29%,7.07%,2.77%,2.18%,3.52%,3.17%,2.60%,3.85%
17,Hawaii,2.67%,2.12%,3.37%,2.50%,1.69%,3.69%,6.17%,4.51%,8.40%,2.21%,1.64%,2.97%,2.69%,2.11%,3.42%
18,Idaho,2.99%,2.40%,3.73%,2.59%,1.81%,3.68%,5.99%,4.40%,8.09%,2.55%,1.92%,3.38%,3.04%,2.41%,3.83%
19,Illinois,3.19%,2.72%,3.75%,2.40%,1.79%,3.21%,9.19%,7.58%,11.10%,2.32%,1.81%,2.97%,3.27%,2.77%,3.87%
20,Indiana,3.76%,3.06%,4.61%,2.34%,1.63%,3.35%,8.07%,6.17%,10.48%,3.19%,2.44%,4.15%,3.91%,3.16%,4.83%
21,Iowa,3.02%,2.44%,3.75%,2.25%,1.57%,3.22%,6.58%,4.99%,8.63%,2.48%,1.86%,3.31%,3.10%,2.48%,3.88%
22,Kansas,2.90%,2.29%,3.66%,2.33%,1.60%,3.37%,5.15%,3.70%,7.12%,2.57%,1.91%,3.47%,2.96%,2.32%,3.78%
23,Kentucky,2.96%,2.35%,3.72%,2.30%,1.61%,3.27%,5.64%,4.18%,7.57%,2.60%,1.95%,3.47%,3.03%,2.38%,3.84%
24,Louisiana,3.48%,2.79%,4.34%,2.61%,1.87%,3.64%,6.87%,5.12%,9.17%,3.03%,2.29%,3.99%,3.57%,2.83%,4.50%
25,Maine,2.97%,2.38%,3.68%,2.14%,1.46%,3.11%,7.40%,5.63%,9.68%,2.45%,1.84%,3.26%,3.04%,2.42%,3.80%
26,Maryland,3.35%,2.72%,4.13%,2.54%,1.79%,3.59%,8.06%,6.14%,10.52%,2.72%,2.07%,3.58%,3.43%,2.76%,4.26%
27,Massachusetts,4.26%,3.45%,5.26%,2.29%,1.60%,3.28%,9.19%,7.12%,11.78%,3.62%,2.75%,4.76%,4.44%,3.57%,5.51%
28,Michigan,3.68%,3.16%,4.29%,2.58%,1.95%,3.40%,7.23%,5.98%,8.72%,3.22%,2.63%,3.94%,3.80%,3.24%,4.45%
29,Minnesota,3.17%,2.58%,3.88%,2.58%,1.82%,3.64%,7.46%,5.66%,9.77%,2.56%,1.95%,3.34%,3.23%,2.60%,3.99%
30,Mississippi,3.35%,2.71%,4.12%,2.89%,2.06%,4.05%,6.32%,4.68%,8.49%,2.89%,2.20%,3.78%,3.40%,2.73%,4.22%
31,Missouri,3.32%,2.63%,4.18%,3.07%,2.11%,4.46%,5.52%,4.02%,7.54%,2.99%,2.23%,4.00%,3.34%,2.62%,4.26%
32,Montana,3.59%,2.93%,4.38%,2.92%,2.08%,4.09%,7.76%,5.88%,10.18%,2.99%,2.31%,3.87%,3.65%,2.96%,4.50%
33,Nebraska,2.87%,2.28%,3.60%,2.24%,1.55%,3.23%,6.34%,4.71%,8.48%,2.33%,1.70%,3.18%,2.93%,2.30%,3.73%
34,Nevada,3.89%,3.14%,4.80%,3.35%,2.38%,4.69%,7.58%,5.70%,10.00%,3.41%,2.60%,4.47%,3.94%,3.15%,4.92%
35,New Hampshire,3.66%,3.00%,4.46%,2.63%,1.88%,3.67%,10.37%,8.07%,13.22%,2.73%,2.06%,3.61%,3.76%,3.05%,4.61%
36,New Jersey,2.74%,2.23%,3.36%,1.92%,1.32%,2.78%,6.68%,5.15%,8.63%,2.25%,1.72%,2.94%,2.82%,2.28%,3.49%
37,New Mexico,3.68%,2.97%,4.57%,2.56%,1.77%,3.68%,8.09%,6.15%,10.57%,3.10%,2.33%,4.11%,3.80%,3.04%,4.75%
38,New York,3.30%,2.85%,3.83%,1.91%,1.43%,2.53%,6.89%,5.75%,8.23%,2.87%,2.36%,3.47%,3.43%,2.95%,3.99%
39,North Carolina,3.28%,2.72%,3.94%,2.52%,1.83%,3.46%,6.87%,5.38%,8.73%,2.80%,2.21%,3.55%,3.36%,2.77%,4.06%
40,North Dakota,2.97%,2.34%,3.76%,2.31%,1.60%,3.32%,5.92%,4.30%,8.10%,2.43%,1.78%,3.31%,3.03%,2.36%,3.88%
41,Ohio,3.16%,2.70%,3.70%,2.14%,1.63%,2.81%,6.56%,5.38%,7.99%,2.74%,2.23%,3.37%,3.27%,2.77%,3.85%
42,Oklahoma,3.22%,2.62%,3.95%,2.43%,1.70%,3.46%,8.24%,6.29%,10.71%,2.45%,1.85%,3.25%,3.30%,2.66%,4.09%
43,Oregon,4.55%,3.74%,5.52%,3.21%,2.26%,4.54%,9.76%,7.64%,12.40%,3.91%,3.06%,4.99%,4.67%,3.82%,5.71%
44,Pennsylvania,3.36%,2.85%,3.94%,2.02%,1.50%,2.72%,7.79%,6.44%,9.39%,2.81%,2.25%,3.50%,3.48%,2.94%,4.11%
45,Rhode Island,4.31%,3.50%,5.30%,2.84%,1.96%,4.09%,8.90%,6.74%,11.66%,3.64%,2.78%,4.76%,4.44%,3.58%,5.50%
46,South Carolina,3.73%,3.02%,4.60%,3.38%,2.41%,4.72%,8.18%,6.32%,10.53%,3.07%,2.32%,4.05%,3.76%,3.01%,4.68%
47,South Dakota,3.19%,2.53%,4.01%,3.00%,2.10%,4.27%,6.51%,4.79%,8.79%,2.65%,1.94%,3.59%,3.21%,2.51%,4.09%
48,Tennessee,3.48%,2.83%,4.25%,2.60%,1.82%,3.70%,7.79%,5.89%,10.24%,2.89%,2.22%,3.76%,3.56%,2.88%,4.40%
49,Texas,2.81%,2.43%,3.26%,2.47%,1.90%,3.20%,6.12%,5.06%,7.39%,2.27%,1.85%,2.78%,2.86%,2.44%,3.34%
50,Utah,3.09%,2.50%,3.81%,2.20%,1.53%,3.16%,5.78%,4.25%,7.81%,2.64%,2.01%,3.46%,3.21%,2.58%,4.00%
51,Vermont,4.71%,3.85%,5.76%,2.40%,1.57%,3.65%,14.55%,11.22%,18.65%,3.23%,2.40%,4.33%,4.91%,3.99%,6.03%
52,Virginia,3.01%,2.51%,3.61%,2.27%,1.64%,3.14%,6.77%,5.38%,8.47%,2.50%,1.95%,3.18%,3.09%,2.55%,3.73%
53,Washington,3.86%,3.13%,4.74%,2.71%,1.92%,3.80%,7.21%,5.53%,9.35%,3.47%,2.66%,4.50%,3.97%,3.20%,4.91%
54,West Virginia,2.94%,2.36%,3.66%,1.89%,1.28%,2.78%,6.30%,4.70%,8.39%,2.56%,1.94%,3.37%,3.04%,2.42%,3.80%
55,Wisconsin,3.00%,2.40%,3.74%,2.06%,1.42%,2.98%,6.64%,4.98%,8.80%,2.51%,1.89%,3.34%,3.10%,2.46%,3.89%
56,Wyoming,2.87%,2.28%,3.62%,2.03%,1.39%,2.97%,5.49%,4.00%,7.48%,2.56%,1.92%,3.40%,2.96%,2.33%,3.76%
