"Table 2. Marijuana Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
28,Michigan,16.69%,15.52%,17.92%,14.15%,12.48%,16.01%,38.00%,35.30%,40.79%,13.41%,12.07%,14.87%,16.94%,15.69%,18.27%
29,Minnesota,13.71%,12.11%,15.47%,12.95%,10.85%,15.38%,32.75%,29.01%,36.72%,10.78%,9.05%,12.79%,13.78%,12.09%,15.67%
30,Mississippi,11.40%,9.93%,13.05%,10.69%,8.77%,12.98%,26.78%,23.26%,30.63%,8.82%,7.25%,10.68%,11.48%,9.91%,13.25%
31,Missouri,13.75%,12.16%,15.51%,11.81%,9.74%,14.24%,31.87%,28.09%,35.92%,11.03%,9.34%,12.99%,13.95%,12.26%,15.82%
32,Montana,19.53%,17.53%,21.69%,15.91%,13.43%,18.76%,40.51%,36.64%,44.50%,16.57%,14.34%,19.07%,19.86%,17.74%,22.17%
33,Nebraska,11.51%,10.12%,13.07%,12.04%,9.96%,14.48%,30.55%,26.88%,34.49%,8.06%,6.63%,9.76%,11.46%,9.98%,13.12%
34,Nevada,16.82%,14.82%,19.02%,14.37%,11.94%,17.19%,35.81%,31.75%,40.08%,14.34%,12.11%,16.90%,17.06%,14.93%,19.43%
35,New Hampshire,18.62%,16.74%,20.65%,15.44%,13.06%,18.16%,43.17%,38.97%,47.47%,15.15%,13.07%,17.49%,18.90%,16.91%,21.07%
36,New Jersey,12.04%,10.77%,13.43%,10.28%,8.49%,12.39%,35.36%,31.71%,39.19%,8.77%,7.45%,10.31%,12.21%,10.87%,13.70%
37,New Mexico,17.51%,15.57%,19.63%,15.62%,13.08%,18.55%,33.63%,29.64%,37.87%,15.09%,12.88%,17.59%,17.71%,15.63%,20.00%
38,New York,14.50%,13.51%,15.55%,11.88%,10.51%,13.40%,36.10%,33.61%,38.68%,11.26%,10.15%,12.47%,14.74%,13.68%,15.86%
39,North Carolina,12.06%,10.84%,13.40%,10.48%,8.86%,12.35%,29.70%,26.72%,32.88%,9.47%,8.12%,11.01%,12.23%,10.91%,13.67%
40,North Dakota,10.95%,9.50%,12.59%,10.27%,8.38%,12.51%,24.99%,21.51%,28.83%,8.13%,6.63%,9.94%,11.02%,9.49%,12.76%
41,Ohio,13.76%,12.65%,14.95%,12.17%,10.68%,13.82%,34.53%,31.97%,37.17%,10.65%,9.42%,12.02%,13.92%,12.74%,15.20%
42,Oklahoma,12.09%,10.55%,13.83%,11.31%,9.26%,13.75%,29.15%,25.50%,33.10%,9.26%,7.64%,11.19%,12.18%,10.54%,14.04%
43,Oregon,26.51%,24.19%,28.97%,17.01%,14.37%,20.01%,47.57%,43.39%,51.78%,24.36%,21.70%,27.22%,27.38%,24.89%,30.02%
44,Pennsylvania,13.21%,12.14%,14.35%,10.36%,8.92%,12.00%,33.74%,31.12%,36.45%,10.34%,9.13%,11.69%,13.47%,12.33%,14.70%
45,Rhode Island,20.76%,18.70%,22.98%,15.27%,12.76%,18.18%,43.67%,39.40%,48.03%,17.21%,14.94%,19.74%,21.24%,19.05%,23.60%
46,South Carolina,11.09%,9.69%,12.67%,10.57%,8.70%,12.78%,28.27%,24.88%,31.91%,8.48%,6.99%,10.26%,11.14%,9.66%,12.83%
47,South Dakota,12.35%,10.85%,14.01%,12.51%,10.39%,14.99%,29.11%,25.56%,32.93%,9.48%,7.89%,11.36%,12.33%,10.75%,14.11%
48,Tennessee,13.38%,11.74%,15.21%,11.68%,9.71%,13.98%,32.11%,28.38%,36.07%,10.61%,8.86%,12.66%,13.55%,11.81%,15.51%
49,Texas,10.55%,9.73%,11.43%,9.61%,8.36%,11.03%,26.19%,24.12%,28.36%,7.88%,6.96%,8.91%,10.67%,9.79%,11.62%
50,Utah,10.40%,9.02%,11.97%,9.20%,7.36%,11.44%,23.74%,20.30%,27.56%,7.64%,6.22%,9.35%,10.58%,9.10%,12.27%
51,Vermont,23.84%,21.53%,26.31%,17.88%,15.00%,21.18%,50.08%,45.49%,54.67%,19.86%,17.23%,22.77%,24.34%,21.89%,26.97%
52,Virginia,11.78%,10.59%,13.08%,10.35%,8.70%,12.28%,30.99%,28.12%,34.02%,8.87%,7.57%,10.36%,11.92%,10.64%,13.32%
53,Washington,22.49%,20.26%,24.89%,14.97%,12.51%,17.81%,42.12%,37.97%,46.39%,20.30%,17.78%,23.07%,23.21%,20.81%,25.78%
54,West Virginia,12.91%,11.28%,14.73%,10.70%,8.79%,12.95%,28.80%,25.16%,32.74%,10.81%,9.03%,12.90%,13.10%,11.37%,15.05%
55,Wisconsin,12.70%,11.16%,14.41%,12.61%,10.55%,15.02%,30.13%,26.46%,34.07%,9.84%,8.22%,11.75%,12.71%,11.08%,14.53%
56,Wyoming,12.15%,10.59%,13.89%,11.75%,9.56%,14.36%,29.33%,25.65%,33.30%,9.46%,7.79%,11.44%,12.19%,10.54%,14.05%
