"Table 29. Received Mental Health Services in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Mental Health Services are defined as having received inpatient treatment/counseling or outpatient treatment/counseling or having used prescription medication for problems with emotions, nerves, or mental health. Respondents were not to include treatment for drug or alcohol use.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)",,,,,,
21,Iowa,17.59%,15.67%,19.70%,18.49%,15.81%,21.49%,17.43%,15.30%,19.80%,,,,,,
22,Kansas,15.39%,13.59%,17.39%,15.03%,12.71%,17.69%,15.46%,13.45%,17.72%,,,,,,
23,Kentucky,17.61%,15.74%,19.65%,16.63%,14.00%,19.65%,17.77%,15.71%,20.03%,,,,,,
24,Louisiana,13.49%,11.78%,15.40%,11.52%,9.45%,13.98%,13.81%,11.93%,15.93%,,,,,,
25,Maine,19.16%,17.06%,21.46%,19.18%,16.37%,22.34%,19.15%,16.86%,21.68%,,,,,,
26,Maryland,14.19%,12.46%,16.11%,15.15%,12.70%,17.97%,14.04%,12.16%,16.15%,,,,,,
27,Massachusetts,19.69%,17.53%,22.06%,17.31%,14.51%,20.52%,20.11%,17.69%,22.76%,,,,,,
28,Michigan,16.42%,15.11%,17.83%,15.31%,13.58%,17.22%,16.61%,15.13%,18.20%,,,,,,
29,Minnesota,17.99%,16.05%,20.10%,18.30%,15.58%,21.37%,17.94%,15.82%,20.26%,,,,,,
30,Mississippi,13.28%,11.55%,15.22%,10.15%,8.09%,12.66%,13.82%,11.91%,15.99%,,,,,,
31,Missouri,16.82%,14.96%,18.86%,15.50%,13.00%,18.37%,17.03%,14.98%,19.30%,,,,,,
32,Montana,15.23%,13.50%,17.13%,16.24%,13.78%,19.05%,15.07%,13.20%,17.15%,,,,,,
33,Nebraska,15.77%,13.91%,17.81%,16.63%,14.07%,19.55%,15.61%,13.57%,17.90%,,,,,,
34,Nevada,12.40%,10.68%,14.34%,10.98%,8.95%,13.40%,12.60%,10.73%,14.74%,,,,,,
35,New Hampshire,19.12%,17.02%,21.41%,19.88%,16.94%,23.19%,19.00%,16.69%,21.55%,,,,,,
36,New Jersey,12.45%,10.99%,14.09%,12.09%,10.13%,14.35%,12.51%,10.90%,14.32%,,,,,,
37,New Mexico,12.74%,11.14%,14.53%,12.32%,10.23%,14.78%,12.80%,11.05%,14.79%,,,,,,
38,New York,14.16%,13.04%,15.36%,13.83%,12.29%,15.53%,14.21%,12.97%,15.55%,,,,,,
39,North Carolina,15.12%,13.63%,16.75%,13.07%,11.16%,15.26%,15.44%,13.79%,17.26%,,,,,,
40,North Dakota,15.51%,13.67%,17.55%,15.10%,12.54%,18.07%,15.61%,13.57%,17.88%,,,,,,
41,Ohio,17.05%,15.71%,18.47%,16.05%,14.27%,17.99%,17.20%,15.71%,18.81%,,,,,,
42,Oklahoma,14.52%,12.82%,16.41%,13.49%,11.23%,16.11%,14.70%,12.83%,16.80%,,,,,,
43,Oregon,16.90%,15.05%,18.93%,15.84%,13.35%,18.69%,17.06%,15.04%,19.28%,,,,,,
44,Pennsylvania,16.39%,15.04%,17.83%,15.59%,13.79%,17.58%,16.51%,15.02%,18.12%,,,,,,
45,Rhode Island,19.73%,17.62%,22.03%,18.57%,15.64%,21.90%,19.94%,17.60%,22.51%,,,,,,
46,South Carolina,14.62%,12.96%,16.45%,13.91%,11.72%,16.42%,14.73%,12.89%,16.77%,,,,,,
47,South Dakota,15.38%,13.62%,17.33%,16.86%,14.23%,19.86%,15.14%,13.20%,17.30%,,,,,,
48,Tennessee,14.92%,13.24%,16.79%,13.53%,11.23%,16.22%,15.14%,13.29%,17.20%,,,,,,
49,Texas,11.54%,10.60%,12.55%,11.37%,10.01%,12.89%,11.57%,10.51%,12.71%,,,,,,
50,Utah,17.53%,15.71%,19.51%,18.21%,15.25%,21.60%,17.38%,15.38%,19.59%,,,,,,
51,Vermont,21.38%,19.11%,23.84%,23.04%,19.47%,27.05%,21.09%,18.65%,23.76%,,,,,,
52,Virginia,15.51%,14.04%,17.11%,14.27%,12.31%,16.48%,15.71%,14.07%,17.50%,,,,,,
53,Washington,17.42%,15.41%,19.63%,14.86%,12.39%,17.73%,17.81%,15.60%,20.26%,,,,,,
54,West Virginia,17.78%,15.80%,19.96%,16.68%,14.03%,19.71%,17.94%,15.79%,20.32%,,,,,,
55,Wisconsin,16.76%,14.88%,18.83%,15.99%,13.44%,18.91%,16.89%,14.83%,19.17%,,,,,,
56,Wyoming,13.48%,11.76%,15.41%,15.78%,13.28%,18.66%,13.12%,11.25%,15.24%,,,,,,
