"Table 3. Marijuana Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
11,Colorado,16.43%,14.50%,18.56%,9.02%,7.29%,11.11%,31.74%,27.67%,36.10%,14.81%,12.61%,17.31%,17.18%,15.11%,19.47%
12,Connecticut,10.59%,9.05%,12.36%,7.91%,6.28%,9.92%,30.35%,26.29%,34.75%,7.69%,6.06%,9.71%,10.86%,9.22%,12.74%
13,Delaware,9.95%,8.50%,11.61%,7.45%,5.94%,9.31%,23.73%,20.26%,27.58%,8.17%,6.62%,10.04%,10.18%,8.66%,11.94%
14,District of Columbia,17.17%,15.14%,19.41%,8.26%,6.59%,10.32%,34.85%,30.61%,39.35%,14.32%,12.06%,16.92%,17.67%,15.55%,20.00%
15,Florida,8.65%,7.86%,9.51%,7.48%,6.48%,8.62%,22.39%,20.27%,24.66%,6.88%,6.00%,7.89%,8.75%,7.91%,9.67%
16,Georgia,6.74%,5.82%,7.79%,5.39%,4.34%,6.66%,18.38%,15.97%,21.05%,4.95%,3.98%,6.15%,6.89%,5.91%,8.01%
17,Hawaii,8.17%,6.78%,9.80%,6.54%,5.09%,8.38%,17.45%,14.47%,20.89%,7.06%,5.55%,8.94%,8.31%,6.85%,10.05%
18,Idaho,7.62%,6.41%,9.04%,6.34%,5.00%,8.02%,16.07%,13.33%,19.25%,6.40%,5.08%,8.02%,7.78%,6.49%,9.29%
19,Illinois,8.81%,7.90%,9.82%,6.89%,5.78%,8.18%,23.51%,21.12%,26.07%,6.66%,5.65%,7.84%,9.01%,8.04%,10.09%
20,Indiana,9.29%,7.96%,10.81%,6.51%,5.18%,8.14%,20.70%,17.56%,24.23%,7.65%,6.20%,9.40%,9.59%,8.18%,11.21%
21,Iowa,6.65%,5.58%,7.89%,5.11%,4.00%,6.51%,17.29%,14.54%,20.44%,4.93%,3.83%,6.32%,6.80%,5.68%,8.13%
22,Kansas,6.62%,5.42%,8.05%,5.16%,3.99%,6.64%,16.04%,13.27%,19.27%,5.12%,3.88%,6.73%,6.78%,5.51%,8.31%
23,Kentucky,7.77%,6.53%,9.22%,6.01%,4.74%,7.58%,17.38%,14.55%,20.64%,6.41%,5.08%,8.06%,7.95%,6.64%,9.48%
24,Louisiana,7.60%,6.40%,9.00%,5.67%,4.48%,7.15%,18.80%,15.89%,22.11%,5.99%,4.70%,7.61%,7.80%,6.53%,9.30%
25,Maine,15.81%,13.90%,17.92%,9.89%,8.01%,12.16%,34.38%,30.15%,38.87%,13.89%,11.73%,16.38%,16.31%,14.28%,18.56%
26,Maryland,10.68%,9.27%,12.28%,7.13%,5.75%,8.80%,26.24%,22.75%,30.06%,8.71%,7.17%,10.54%,11.04%,9.53%,12.74%
27,Massachusetts,13.38%,11.71%,15.24%,8.91%,7.23%,10.93%,30.27%,26.46%,34.38%,10.94%,9.10%,13.10%,13.78%,12.01%,15.77%
28,Michigan,11.61%,10.55%,12.77%,7.73%,6.56%,9.08%,24.24%,21.92%,26.72%,9.95%,8.73%,11.32%,12.00%,10.86%,13.25%
29,Minnesota,7.71%,6.52%,9.10%,5.81%,4.62%,7.29%,19.12%,16.08%,22.57%,6.13%,4.85%,7.72%,7.91%,6.64%,9.40%
30,Mississippi,6.96%,5.80%,8.32%,5.05%,3.92%,6.48%,15.79%,13.01%,19.04%,5.67%,4.43%,7.23%,7.17%,5.94%,8.63%
31,Missouri,8.42%,7.13%,9.92%,5.80%,4.55%,7.37%,18.57%,15.50%,22.08%,7.08%,5.69%,8.78%,8.68%,7.32%,10.28%
32,Montana,13.01%,11.32%,14.90%,8.80%,7.18%,10.75%,25.13%,21.71%,28.89%,11.52%,9.62%,13.75%,13.40%,11.60%,15.43%
33,Nebraska,7.70%,6.50%,9.12%,6.00%,4.70%,7.62%,18.76%,15.65%,22.32%,5.96%,4.69%,7.53%,7.89%,6.61%,9.40%
34,Nevada,11.81%,10.15%,13.69%,8.82%,7.11%,10.89%,25.86%,22.30%,29.79%,10.11%,8.29%,12.27%,12.11%,10.36%,14.11%
35,New Hampshire,12.90%,11.24%,14.76%,8.64%,7.00%,10.61%,28.93%,25.32%,32.82%,10.86%,9.04%,13.00%,13.28%,11.52%,15.26%
36,New Jersey,7.15%,6.15%,8.29%,5.16%,4.06%,6.52%,22.34%,19.24%,25.78%,5.12%,4.07%,6.42%,7.35%,6.29%,8.56%
37,New Mexico,11.96%,10.33%,13.81%,9.74%,7.88%,11.99%,24.39%,20.84%,28.32%,10.19%,8.38%,12.33%,12.20%,10.46%,14.17%
38,New York,9.47%,8.66%,10.35%,6.75%,5.80%,7.85%,23.35%,21.26%,25.57%,7.50%,6.59%,8.52%,9.72%,8.86%,10.66%
39,North Carolina,7.92%,6.92%,9.06%,6.04%,4.93%,7.38%,19.04%,16.45%,21.94%,6.40%,5.30%,7.70%,8.12%,7.05%,9.33%
40,North Dakota,6.44%,5.31%,7.78%,4.99%,3.85%,6.43%,14.50%,11.75%,17.75%,4.93%,3.76%,6.45%,6.57%,5.38%,8.00%
41,Ohio,8.58%,7.71%,9.54%,6.33%,5.35%,7.47%,21.27%,19.00%,23.73%,6.83%,5.86%,7.94%,8.81%,7.88%,9.83%
42,Oklahoma,6.90%,5.72%,8.30%,5.38%,4.14%,6.95%,16.80%,13.91%,20.16%,5.39%,4.15%,6.97%,7.06%,5.82%,8.55%
43,Oregon,19.23%,17.22%,21.41%,10.35%,8.43%,12.64%,33.15%,29.33%,37.21%,18.07%,15.76%,20.64%,20.04%,17.89%,22.38%
44,Pennsylvania,8.23%,7.36%,9.19%,5.59%,4.69%,6.66%,21.38%,19.17%,23.76%,6.48%,5.51%,7.60%,8.47%,7.54%,9.50%
45,Rhode Island,15.75%,13.83%,17.87%,9.49%,7.71%,11.61%,31.86%,28.00%,35.99%,13.51%,11.34%,16.01%,16.30%,14.27%,18.56%
46,South Carolina,6.66%,5.53%,8.00%,5.47%,4.26%,7.00%,18.38%,15.47%,21.70%,4.97%,3.79%,6.49%,6.77%,5.58%,8.20%
47,South Dakota,7.13%,5.97%,8.51%,5.94%,4.70%,7.49%,18.25%,15.26%,21.68%,5.40%,4.16%,6.96%,7.26%,6.03%,8.72%
48,Tennessee,8.00%,6.73%,9.48%,5.75%,4.56%,7.22%,19.49%,16.26%,23.19%,6.44%,5.10%,8.10%,8.23%,6.88%,9.81%
49,Texas,5.98%,5.36%,6.66%,4.86%,4.08%,5.76%,14.63%,12.93%,16.51%,4.59%,3.90%,5.39%,6.11%,5.45%,6.85%
50,Utah,6.25%,5.17%,7.55%,4.71%,3.62%,6.10%,14.71%,11.99%,17.93%,4.63%,3.50%,6.11%,6.47%,5.31%,7.87%
51,Vermont,18.64%,16.59%,20.88%,10.75%,8.72%,13.18%,38.80%,34.16%,43.66%,15.91%,13.55%,18.59%,19.30%,17.12%,21.69%
52,Virginia,6.96%,6.02%,8.03%,5.48%,4.41%,6.80%,18.47%,16.03%,21.18%,5.28%,4.28%,6.50%,7.10%,6.11%,8.24%
53,Washington,15.30%,13.41%,17.39%,8.96%,7.25%,11.02%,26.48%,22.87%,30.45%,14.28%,12.12%,16.75%,15.90%,13.89%,18.15%
54,West Virginia,7.59%,6.35%,9.04%,5.45%,4.25%,6.97%,16.94%,14.10%,20.22%,6.44%,5.12%,8.08%,7.78%,6.48%,9.32%
55,Wisconsin,7.89%,6.58%,9.44%,5.91%,4.65%,7.47%,18.82%,15.81%,22.25%,6.33%,4.94%,8.08%,8.09%,6.70%,9.74%
56,Wyoming,7.10%,5.89%,8.54%,5.76%,4.50%,7.35%,16.50%,13.69%,19.75%,5.77%,4.47%,7.42%,7.24%,5.96%,8.76%
