Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,P,52754,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,P,52504,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,P,51350,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,P,50618,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,P,50324,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,P,49631,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,P,49060,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,P,48479,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,P,47908,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,P,47352,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,P,46833,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,P,46999,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,,78,908302,8.59,.
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,34,373140,9.11,9.07423192
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,44,387329,11.36,11.40988784
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,46,394494,11.66,11.76668171
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,44,403936,10.89,11.02912733
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,39,413166,9.44,9.523912581
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,40,423183,9.45,9.489058567
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,60,435249,13.79,13.70709093
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,49,447235,10.96,10.79992385
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,32,456335,7.01,6.876003082
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,48,463153,10.36,10.14314246
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,40,465450,8.59,8.402397614
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,36,466275,7.72,7.622280288
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,45,463469,9.71,9.61838699
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,46,462544,9.94,9.873973526
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,34,462934,7.34,7.299533651
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,49,464879,10.54,10.4795102
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,56,467672,11.97,11.85141951
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,47,472871,9.94,9.79990822
Males,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,,789,7923314,9.96,.
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,P,350713,.,.
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,P,364019,.,.
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,12,369801,3.24,3.327563247
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,10,377838,2.65,2.63241267
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,P,387200,.,.
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,10,397492,2.52,2.574822892
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,18,409495,4.4,4.4157604
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,21,421315,4.98,4.984582854
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,12,431090,2.78,2.769887755
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,16,437685,3.66,3.610939605
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,13,442022,2.94,2.894292129
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,13,443971,2.93,2.888034913
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,19,441026,4.31,4.30242918
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,16,440924,3.63,3.634260533
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,10,442040,2.26,2.264093431
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,16,444369,3.6,3.601587936
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,19,447706,4.24,4.230262561
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,17,452657,3.76,3.734357982
Females,All Races,Arizona,Both,Ages 10 to 19,1999,2016,Suicide Injury,,243,7501363,3.24,.
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,26,202193,12.86,12.63349402
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,18,202078,8.91,8.850674478
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,22,201186,10.94,10.83181699
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,19,201145,9.45,9.415432185
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,11,200759,5.48,5.439461939
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,P,200678,.,.
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,27,201009,13.43,13.2190874
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,19,202176,9.4,9.197555503
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,14,203248,6.89,6.727884439
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,20,203871,9.81,9.557468396
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,19,204082,9.31,9.12975731
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,16,205075,7.8,7.69769472
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,19,204191,9.31,9.250982226
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,19,202603,9.38,9.364406338
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,23,202086,11.38,11.36809441
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,24,201991,11.88,11.8650142
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,14,202344,6.92,6.878488306
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,18,202808,8.88,8.810823387
Males,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,,S,3643523,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,P,190958,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,P,190794,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,P,189469,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,P,188882,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,P,189532,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,P,190132,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,P,190895,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,P,192683,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,P,193564,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,P,194787,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,P,195331,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,P,196289,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,P,194755,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,P,193487,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,P,193306,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,P,192965,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,P,193221,.,.
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,11,193823,5.68,5.659211286
Females,All Races,Arkansas,Both,Ages 10 to 19,1999,2016,Suicide Injury,,92,3464873,2.66,.
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,103,2528119,4.07,4.091907152
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,111,2596053,4.28,4.322200799
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,111,2660722,4.17,4.23997607
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,108,2711501,3.98,4.072558706
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,117,2752885,4.25,4.364109912
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,128,2790452,4.59,4.661838838
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,119,2811673,4.23,4.249544506
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,127,2819558,4.5,4.457207164
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,113,2816692,4.01,3.91392543
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,118,2809209,4.2,4.056870406
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,126,2796089,4.51,4.333668653
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,132,2780997,4.75,4.569282424
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,140,2725304,5.14,4.979250077
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,106,2684621,3.95,3.8259007
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,128,2651754,4.83,4.718202573
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,116,2628027,4.41,4.332690144
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,152,2612745,5.82,5.707021434
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,154,2603162,5.92,5.831358875
Males,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,,2209,48779563,4.53,.
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,30,2372888,1.26,1.275551295
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,38,2439980,1.56,1.583479331
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,24,2492726,0.96,0.988908338
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,31,2543505,1.22,1.258495364
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,27,2588487,1.04,1.069932347
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,51,2625424,1.94,1.993065478
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,36,2647352,1.36,1.375649767
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,39,2658971,1.47,1.4644844
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,24,2658322,0.9,0.888679266
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,35,2654958,1.32,1.292408588
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,40,2644783,1.51,1.469202861
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,48,2633873,1.82,1.784271127
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,51,2585915,1.97,1.924753309
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,43,2555271,1.68,1.651161745
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,53,2533346,2.09,2.057905408
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,46,2516248,1.83,1.800823592
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,50,2504941,2,1.974146288
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,58,2499299,2.32,2.298343271
Females,All Races,California,Both,Ages 10 to 19,1999,2016,Suicide Injury,,724,46156289,1.57,.
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,34,314888,10.8,10.74325355
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,36,322250,11.17,11.14545994
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,44,330951,13.3,13.21149424
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,46,335509,13.71,13.57164761
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,22,337099,6.53,6.452937294
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,44,336402,13.08,12.92507695
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,44,337421,13.04,12.77790312
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,31,339027,9.14,8.9428543
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,34,340628,9.98,9.768558062
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,38,342615,11.09,10.76706248
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,44,345255,12.74,12.51451008
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,36,345922,10.41,10.27097813
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,42,350015,12,11.8596272
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,42,351348,11.95,11.89556734
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,39,353869,11.02,11.01571126
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,50,357848,13.97,13.99147406
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,59,362321,16.28,16.29101685
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,57,366424,15.56,15.53521071
Males,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,,742,6169792,12.03,.
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,11,293884,3.74,3.760374866
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,12,300652,3.99,4.030177541
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,P,308428,.,.
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,P,311989,.,.
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,P,314276,.,.
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,14,314701,4.45,4.44787333
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,14,316352,4.43,4.393699004
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,11,318064,3.46,3.4079962
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,P,320008,.,.
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,14,322500,4.34,4.286698208
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,16,325001,4.92,4.867129202
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,13,326207,3.99,3.964160607
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,12,330658,3.63,3.625635558
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,11,332129,3.31,3.319799479
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,21,335036,6.27,6.308043604
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,13,338985,3.83,3.84994674
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,31,343394,9.03,9.096595951
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,22,347645,6.33,6.345254441
Females,All Races,Colorado,Both,Ages 10 to 19,1999,2016,Suicide Injury,,245,5799909,4.22,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,P,230374,.,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,14,235691,5.94,6.157523758
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,20,243660,8.21,8.518106965
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,10,249411,4.01,4.116038224
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,P,252899,.,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,P,254802,.,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,P,256207,.,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,17,256356,6.63,6.547736665
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,15,256247,5.85,5.714195715
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,15,255359,5.87,5.76336547
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,P,254253,.,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,10,251873,3.97,3.854456895
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,15,253674,5.91,5.69162361
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,13,251630,5.17,4.95530198
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,P,248657,.,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,P,246223,.,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,11,243101,4.52,4.373859621
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,P,240492,.,.
Males,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,,202,4480909,4.51,.
Females,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,P,218841,.,.
Females,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,P,223820,.,.
Females,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,P,230824,.,.
Females,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,P,236030,.,.
Females,All Races,Connecticut,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,P,239710,.,.
